index,classification,name,club_page,external_url
0001,自治性,學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0001  ,https://www.facebook.com/NTUSA
0002,自治性,文學院學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0002  ,https://www.facebook.com/share/b4XfYfgXeKh7jCv3/?mibextid=qi2Omg
0003,自治性,機械工程學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0003  ,https://www.facebook.com/NTUME.StudentAssociation/
0004,自治性,理學院學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0004  ,
0006,自治性,醫學院學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0006  ,www.facebook.com/ntucmsa2024
0007,自治性,工學院學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0007  ,https://www.facebook.com/NTUENGSA
0008,學藝性,話劇社,https://osa_activity.ntu.edu.tw/club/detail/sn/0008  ,https://www.facebook.com/NTU.DramaClub?fref=ts
0009,自治性,生物資源暨農學院學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0009  ,https://www.facebook.com/NtuAbc
0010,自治性,生物環境系統工程學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0010  ,https://www.facebook.com/ntubsecamp/
0012,自治性,農業化學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0012  ,https://www.facebook.com/NTUACSA/
0013,學藝性,管樂團,https://osa_activity.ntu.edu.tw/club/detail/sn/0013  ,https://www.facebook.com/ntuwbbest/
0014,綜合性,應屆畢業生聯合會,https://osa_activity.ntu.edu.tw/club/detail/sn/0014  ,https://www.facebook.com/ntugraduate/
0017,自治性,園藝暨景觀學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0017  ,https://www.facebook.com/NTUHORTSA/
0018,自治性,獸醫學系學生會,https://osa_activity.ntu.edu.tw/club/detail/sn/0018  ,https://www.facebook.com/ntuvmsa/
0023,聯誼性,蘭陽地區校友會,https://osa_activity.ntu.edu.tw/club/detail/sn/0023  ,https://www.facebook.com/2020NtuKavalanNight/
0024,聯誼性,新竹地區校友會,https://osa_activity.ntu.edu.tw/club/detail/sn/0024  ,https://www.facebook.com/bambooooo.ntu.hsinchu
