room_name,floor,type,capacity,equipment,morning_fee,afternoon_fee,day_fee,night_fee,building
共101,1樓,階梯教室,240,雙投影機、推播系統、冷氣空調,3250,3250,6250,6250,共同教學館
共102,1樓,平面教室,48,單投影機、推播系統、冷氣空調,2500,2500,4750,4750,共同教學館
共103,1樓,平面教室,60,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,共同教學館
共104,1樓,平面教室,110,雙投影機、推播系統、冷氣空調,3000,3000,5750,5750,共同教學館
共105,1樓,平面教室,110,雙投影機、推播系統、冷氣空調,3000,3000,5750,5750,共同教學館
共201,2樓,階梯教室,238,雙投影機、推播系統、冷氣空調,3250,3250,6250,6250,共同教學館
共202,2樓,平面教室,48,推播系統、單投影機、冷氣空調,2500,2500,4750,4750,共同教學館
共203,2樓,平面教室,110,雙投影機、推播系統、冷氣空調,3000,3000,5750,5750,共同教學館
共204,2樓,平面教室,110,推播系統、冷氣空調、雙投影機,3000,3000,5750,5750,共同教學館
共205,2樓,平面教室,110,推播系統、冷氣空調、雙投影機,3000,3000,5750,5750,共同教學館
共206,2樓,平面教室,14,推播系統、冷氣空調、單投影機,2500,2500,4750,4750,共同教學館
共207,2樓,平面教室,14,推播系統、冷氣空調、單投影機,2500,2500,4750,4750,共同教學館
共208,2樓,平面教室,14,冷氣空調、單投影機、推播系統,2500,2500,4750,4750,共同教學館
共301,3樓,階梯教室,200,推播系統、冷氣空調、單投影機,3000,3000,5750,5750,共同教學館
共302,3樓,平面教室,48,推播系統、冷氣空調、單投影機,2500,2500,4750,4750,共同教學館
共303,3樓,平面教室,48,單投影機、推播系統、冷氣空調,2500,2500,4750,4750,共同教學館
共304,3樓,平面教室,48,推播系統、冷氣空調、單投影機,2500,2500,4750,4750,共同教學館
共305,3樓,平面教室,48,推播系統、冷氣空調、單投影機,2500,2500,4750,4750,共同教學館
共306,3樓,平面教室,48,推播系統、冷氣空調、單投影機,2500,2500,4750,4750,共同教學館
共307,3樓,平面教室,48,推播系統、冷氣空調、單投影機,2500,2500,4750,4750,共同教學館
共308,3樓,平面教室,47,推播系統、冷氣空調、單投影機,2500,2500,4750,4750,共同教學館
共401,4樓,平面教室,41,推播系統、冷氣空調、單投影機,2500,2500,4750,4750,共同教學館
共402,4樓,平面教室,41,推播系統、冷氣空調、單投影機,2500,2500,4750,4750,共同教學館
共403,4樓,平面教室,41,推播系統、冷氣空調、單投影機,2500,2500,4750,4750,共同教學館
共404,4樓,平面教室,41,冷氣空調、單投影機、推播系統,2500,2500,4750,4750,共同教學館
共405,4樓,平面教室,41,冷氣空調、單投影機、推播系統,2500,2500,4750,4750,共同教學館
共406,4樓,平面教室,41,冷氣空調、單投影機、推播系統,2500,2000,4750,4750,共同教學館
共407,4樓,平面教室,47,冷氣空調、單投影機、推播系統,2500,2500,4750,4750,共同教學館
博雅101/華南講堂,1樓,階梯教室,400,三投影機、1F 電視牆(4合1)、冷氣空調,5000,5000,10000,10000,博雅教學館
博雅102,1樓,階梯教室,279,冷氣空調、單投影機、1F 電視牆(4合1),3750,3750,7500,7500,博雅教學館
博雅103,1樓,階梯教室,278,冷氣空調、雙投影機、1F 電視牆(4合1),3750,3750,7500,7500,博雅教學館
博雅201,2樓,階梯教室,164,冷氣空調、雙投影機、1F 電視牆(4合1),3000,3000,5750,5750,博雅教學館
博雅202,2樓,階梯教室,213,冷氣空調、單投影機、1F 電視牆(4合1),3250,3250,6250,6250,博雅教學館
博雅203,2樓,平面教室,24,1F 電視牆(4合1)、冷氣空調、單投影機,2500,2500,4750,4750,博雅教學館
博雅204,2樓,平面教室,20,單投影機、1F 電視牆(4合1)、冷氣空調,2500,2500,4750,4750,博雅教學館
博雅205,2樓,平面教室,20,單投影機、1F 電視牆(4合1)、冷氣空調,2500,2500,4750,4750,博雅教學館
博雅206,2樓,平面教室,24,冷氣空調、單投影機、1F 電視牆(4合1),2500,2500,4750,4750,博雅教學館
博雅301,3樓,階梯教室,128,1F 電視牆(4合1)、冷氣空調、雙投影機,3000,3000,5750,5750,博雅教學館
博雅302,3樓,階梯教室,121,1F 電視牆(4合1)、冷氣空調、雙投影機,3000,3000,5750,5750,博雅教學館
博雅303,3樓,平面教室,24,單投影機、1F 電視牆(4合1)、冷氣空調,2500,2500,4750,4750,博雅教學館
博雅304,3樓,平面教室,20,1F 電視牆(4合1)、冷氣空調、單投影機,2500,2500,4750,4750,博雅教學館
博雅305,3樓,平面教室,24,1F 電視牆(4合1)、冷氣空調、單投影機,2500,2500,4750,4750,博雅教學館
博雅306,3樓,平面教室,22,1F 電視牆(4合1)、冷氣空調、單投影機,2500,2500,4750,4750,博雅教學館
博雅307,3樓,平面教室,24,冷氣空調、單投影機、1F 電視牆(4合1),2500,2500,4750,4750,博雅教學館
博雅308,3樓,平面教室,24,冷氣空調、單投影機、1F 電視牆(4合1),2500,2500,4750,4750,博雅教學館
博雅309,3樓,平面教室,22,冷氣空調、單投影機、1F 電視牆(4合1),2500,2500,4750,4750,博雅教學館
博雅310,3樓,平面教室,24,冷氣空調、單投影機、1F 電視牆(4合1),2500,2500,4750,4750,博雅教學館
博雅311,3樓,平面教室,24,單投影機、1F 電視牆(4合1)、冷氣空調,2500,2500,4750,4750,博雅教學館
博雅312,3樓,平面教室,30,單投影機、1F 電視牆(4合1)、冷氣空調,2500,2500,4750,4750,博雅教學館
一樓中央大廳 展覽牆柱區,一樓,展覽牆：24.2公尺x3.7公尺,100,,7500,7500,7500,7500,博雅教學館藝文空間
一樓西側大廳 桌椅區 (101 教室旁),一樓,空間可容納 30 人。,30,,3750,3750,3750,3750,博雅教學館藝文空間
一樓西側大廳 圖書攤位區 (入口處),一樓,空間可容納 11 人。,11,,3750,3750,3750,3750,博雅教學館藝文空間
中央大廳圓桌區,一樓,空間可容納 86 人。,86,,7500,7500,7500,7500,博雅教學館藝文空間
普101,1樓,階梯教室,302,推播系統、冷氣空調、雙投影機,3250,3250,6250,6250,普通教學館
普102,1樓,階梯教室,190,推播系統、冷氣空調、雙投影機,3000,3000,5750,5750,普通教學館
普103,1樓,階梯教室,302,雙投影機、推播系統、冷氣空調,3250,3250,6250,6250,普通教學館
普201,2樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普202,2樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普203,2樓,平面教室,150,推播系統、冷氣空調、雙投影機,3000,3000,5750,5750,普通教學館
普204,2樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普205,2樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普301,3樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普302,3樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普303,3樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普304,3樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普305,3樓,平面教室,80,雙投影機、推播系統、冷氣空調,2750,2750,5250,5250,普通教學館
普306,3樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普401,4樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普402,4樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普403,4樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普404,4樓,平面教室,80,雙投影機、推播系統、冷氣空調,2750,2750,5250,5250,普通教學館
普405,4樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普406,4樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普501,5樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普502,5樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普503,5樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普504,5樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
普505,5樓,平面教室,80,推播系統、冷氣空調、雙投影機,2750,2750,5250,5250,普通教學館
新102,1樓,階梯教室,254,推播系統、冷氣空調、四投影機,3250,3250,6250,6250,新生教學館
新103,1樓,階梯教室,108,推播系統、冷氣空調、雙投影機,3000,3000,5750,5750,新生教學館
新201,2樓,平面教室,64,單投影機、推播系統、冷氣空調,2750,2750,5250,5250,新生教學館
新202,2樓,階梯教室,110,推播系統、冷氣空調、雙投影機,3000,3000,5750,5750,新生教學館
新203,2樓,階梯教室,141,推播系統、冷氣空調、雙投影機,3000,3000,5750,5750,新生教學館
新204,2樓,階梯教室,110,推播系統、冷氣空調、雙投影機,3000,3000,5750,5750,新生教學館
新301,3樓,平面教室,64,推播系統、冷氣空調、單投影機,2750,2750,5250,5250,新生教學館
新302,3樓,階梯教室,110,推播系統、冷氣空調、雙投影機,3000,3000,5750,5750,新生教學館
新303,3樓,階梯教室,141,推播系統、冷氣空調、雙投影機,3000,3000,5750,5750,新生教學館
新304,3樓,階梯教室,110,推播系統、冷氣空調、雙投影機,3000,3000,5750,5750,新生教學館
新401,4樓,平面教室,64,推播系統、冷氣空調、單投影機,2750,2750,5250,5250,新生教學館
